Speed,TS_Sent,TS_Recv,Latency_ms
74.189,1765894976.251997,1765894976.252000,0.003
1.976,1765894976.262212,1765894976.262000,-0.212
41.349,1765894976.272516,1765894976.273000,0.484
41.597,1765894976.282734,1765894976.283000,0.266
87.310,1765894976.292885,1765894976.293000,0.115
42.589,1765894976.303054,1765894976.303000,-0.054
61.173,1765894976.313349,1765894976.313000,-0.349
12.223,1765894976.323689,1765894976.324000,0.311
86.322,1765894976.333968,1765894976.334000,0.032
16.588,1765894976.344229,1765894976.344000,-0.229
6.030,1765894976.354590,1765894976.365000,10.410
53.968,1765894976.364797,1765894976.365000,0.203
19.573,1765894976.375071,1765894976.375000,-0.071
37.737,1765894976.385333,1765894976.385000,-0.333
92.215,1765894976.395604,1765894976.396000,0.396
92.981,1765894976.405857,1765894976.406000,0.143
53.947,1765894976.416114,1765894976.416000,-0.114
30.737,1765894976.426363,1765894976.427000,0.637
30.370,1765894976.436628,1765894976.447000,10.372
97.386,1765894976.446891,1765894976.447000,0.109
29.825,1765894976.457054,1765894976.457000,-0.054
12.543,1765894976.467313,1765894976.467000,-0.313
3.124,1765894976.477576,1765894976.478000,0.424
44.599,1765894976.487826,1765894976.498000,10.174
50.073,1765894976.497990,1765894976.498000,0.010
38.037,1765894976.508250,1765894976.508000,-0.250
60.649,1765894976.518503,1765894976.519000,0.497
47.659,1765894976.528642,1765894976.529000,0.358
97.264,1765894976.538920,1765894976.539000,0.080
63.352,1765894976.549174,1765894976.549000,-0.174
58.439,1765894976.559438,1765894976.560000,0.562
24.677,1765894976.569609,1765894976.580000,10.391
57.382,1765894976.579868,1765894976.580000,0.132
21.532,1765894976.590121,1765894976.590000,-0.121
51.209,1765894976.600378,1765894976.601000,0.622
24.792,1765894976.610640,1765894976.611000,0.360
7.018,1765894976.620787,1765894976.631000,10.213
47.780,1765894976.631039,1765894976.631000,-0.039
69.538,1765894976.641289,1765894976.641000,-0.289
25.149,1765894976.651655,1765894976.652000,0.345
2.758,1765894976.661923,1765894976.662000,0.077
69.549,1765894976.672287,1765894976.672000,-0.287
91.533,1765894976.682520,1765894976.683000,0.480
53.945,1765894976.692756,1765894976.693000,0.244
5.688,1765894976.703018,1765894976.713000,9.982
10.121,1765894976.713266,1765894976.713000,-0.266
75.755,1765894976.723520,1765894976.724000,0.480
88.494,1765894976.733674,1765894976.734000,0.326
79.865,1765894976.743927,1765894976.744000,0.073
52.569,1765894976.754180,1765894976.765000,10.820
34.578,1765894976.764395,1765894976.765000,0.605
41.271,1765894976.774686,1765894976.775000,0.314
88.558,1765894976.784980,1765894976.785000,0.020
44.334,1765894976.795324,1765894976.795000,-0.324
25.740,1765894976.805676,1765894976.806000,0.324
62.409,1765894976.815971,1765894976.816000,0.029
40.535,1765894976.826228,1765894976.826000,-0.228
29.812,1765894976.836531,1765894976.847000,10.469
12.870,1765894976.846697,1765894976.847000,0.303
14.064,1765894976.857124,1765894976.857000,-0.124
53.907,1765894976.867451,1765894976.868000,0.549
43.085,1765894976.877708,1765894976.878000,0.292
57.146,1765894976.887983,1765894976.888000,0.017
59.769,1765894976.898237,1765894976.898000,-0.237
16.075,1765894976.908513,1765894976.909000,0.487
98.326,1765894976.918755,1765894976.929000,10.245
19.669,1765894976.929005,1765894976.929000,-0.005
52.051,1765894976.939237,1765894976.939000,-0.237
11.842,1765894976.949465,1765894976.950000,0.535
83.342,1765894976.959703,1765894976.960000,0.297
83.188,1765894976.969946,1765894976.980000,10.054
81.596,1765894976.980107,1765894976.980000,-0.107
53.024,1765894976.990442,1765894976.991000,0.558
39.438,1765894977.000648,1765894977.001000,0.352
65.220,1765894977.010916,1765894977.011000,0.084
97.870,1765894977.021198,1765894977.021000,-0.198
84.324,1765894977.031364,1765894977.032000,0.636
41.447,1765894977.041506,1765894977.042000,0.494
55.172,1765894977.051637,1765894977.062000,10.363
27.978,1765894977.061793,1765894977.062000,0.207
32.012,1765894977.072035,1765894977.072000,-0.035
46.616,1765894977.082311,1765894977.082000,-0.311
70.242,1765894977.092461,1765894977.093000,0.539
7.630,1765894977.102810,1765894977.113000,10.190
22.468,1765894977.113074,1765894977.113000,-0.074
88.418,1765894977.123345,1765894977.124000,0.655
12.874,1765894977.133592,1765894977.134000,0.408
22.924,1765894977.143832,1765894977.144000,0.168
49.437,1765894977.154079,1765894977.154000,-0.079
29.228,1765894977.164322,1765894977.164000,-0.322
15.341,1765894977.174511,1765894977.175000,0.489
63.146,1765894977.184789,1765894977.185000,0.211
20.231,1765894977.195076,1765894977.195000,-0.076
72.456,1765894977.205435,1765894977.206000,0.565
82.836,1765894977.215763,1765894977.216000,0.237
67.886,1765894977.226003,1765894977.226000,-0.003
19.907,1765894977.236343,1765894977.247000,10.657
47.763,1765894977.246596,1765894977.247000,0.404
16.493,1765894977.256920,1765894977.257000,0.080
66.640,1765894977.267220,1765894977.267000,-0.220
16.537,1765894977.277489,1765894977.278000,0.511
56.651,1765894977.287825,1765894977.288000,0.175
38.525,1765894977.298066,1765894977.298000,-0.066
98.851,1765894977.308233,1765894977.308000,-0.233
57.964,1765894977.318508,1765894977.329000,10.492
46.131,1765894977.328752,1765894977.329000,0.248
28.474,1765894977.338998,1765894977.339000,0.002
56.226,1765894977.349233,1765894977.349000,-0.233
19.828,1765894977.359504,1765894977.360000,0.496
44.746,1765894977.369737,1765894977.380000,10.263
48.705,1765894977.379909,1765894977.380000,0.091
77.383,1765894977.390169,1765894977.390000,-0.169
45.568,1765894977.400460,1765894977.401000,0.540
55.412,1765894977.410715,1765894977.411000,0.285
50.334,1765894977.420969,1765894977.421000,0.031
81.336,1765894977.431219,1765894977.431000,-0.219
13.333,1765894977.441374,1765894977.442000,0.626
19.502,1765894977.451633,1765894977.462000,10.367
15.547,1765894977.461902,1765894977.462000,0.098
33.474,1765894977.472153,1765894977.472000,-0.153
40.045,1765894977.482411,1765894977.483000,0.589
58.926,1765894977.492666,1765894977.493000,0.334
88.683,1765894977.502999,1765894977.514000,11.001
52.645,1765894977.513245,1765894977.514000,0.755
35.478,1765894977.523596,1765894977.524000,0.404
98.530,1765894977.533854,1765894977.534000,0.146
71.919,1765894977.544143,1765894977.544000,-0.143
12.909,1765894977.554427,1765894977.555000,0.573
89.009,1765894977.564700,1765894977.565000,0.300
60.777,1765894977.574937,1765894977.575000,0.063
25.670,1765894977.585195,1765894977.596000,10.805
26.004,1765894977.595443,1765894977.596000,0.557
90.850,1765894977.605746,1765894977.606000,0.254
14.918,1765894977.615998,1765894977.616000,0.002
82.636,1765894977.626247,1765894977.626000,-0.247
27.203,1765894977.636505,1765894977.637000,0.495
80.723,1765894977.646771,1765894977.647000,0.229
21.324,1765894977.657114,1765894977.657000,-0.114
67.315,1765894977.667363,1765894977.678000,10.637
20.381,1765894977.677620,1765894977.678000,0.380
64.601,1765894977.687851,1765894977.688000,0.149
32.667,1765894977.698103,1765894977.698000,-0.103
46.046,1765894977.708328,1765894977.708000,-0.328
2.475,1765894977.718597,1765894977.729000,10.403
32.206,1765894977.728762,1765894977.729000,0.238
30.065,1765894977.738990,1765894977.739000,0.010
65.624,1765894977.749155,1765894977.749000,-0.155
46.617,1765894977.759383,1765894977.759000,-0.383
47.925,1765894977.769608,1765894977.780000,10.392
41.244,1765894977.779822,1765894977.780000,0.178
82.201,1765894977.790065,1765894977.790000,-0.065
37.925,1765894977.800328,1765894977.800000,-0.328
58.174,1765894977.810571,1765894977.811000,0.429
78.730,1765894977.820809,1765894977.821000,0.191
96.135,1765894977.830980,1765894977.831000,0.020
75.739,1765894977.841238,1765894977.841000,-0.238
24.004,1765894977.851511,1765894977.862000,10.489
33.029,1765894977.861699,1765894977.862000,0.301
33.926,1765894977.871861,1765894977.872000,0.139
22.823,1765894977.882096,1765894977.882000,-0.096
73.900,1765894977.892357,1765894977.892000,-0.357
94.273,1765894977.902606,1765894977.913000,10.394
99.567,1765894977.912773,1765894977.913000,0.227
84.281,1765894977.923056,1765894977.923000,-0.056
24.115,1765894977.933301,1765894977.933000,-0.301
93.565,1765894977.943556,1765894977.944000,0.444
29.816,1765894977.953800,1765894977.954000,0.200
69.541,1765894977.963960,1765894977.964000,0.040
6.236,1765894977.974188,1765894977.974000,-0.188
64.704,1765894977.984434,1765894977.985000,0.566
47.129,1765894977.994737,1765894977.995000,0.263
10.428,1765894978.004983,1765894978.005000,0.017
67.211,1765894978.015229,1765894978.015000,-0.229
8.794,1765894978.025502,1765894978.026000,0.498
1.919,1765894978.035751,1765894978.046000,10.249
